,TOWN,TOWNNO,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT
375,Boston Charlestown,78,401,-71.05909643333332,42.37823983333334,15.0,15.0,19.6091,0.0,18.1,0,0.671,7.313,97.9,1.3163,24,666,20.2,396.9,13.44
377,Boston Charlestown,78,403,-71.06109643333333,42.37653983333334,13.3,13.3,9.82349,0.0,18.1,0,0.671,6.794,98.8,1.358,24,666,20.2,396.9,21.24
378,Boston Charlestown,78,404,-71.06109643333333,42.37923983333334,13.1,13.1,23.6482,0.0,18.1,0,0.671,6.38,96.2,1.3861,24,666,20.2,396.9,23.69
376,Boston Charlestown,78,402,-71.06709643333333,42.381739833333334,13.9,13.9,15.288,0.0,18.1,0,0.671,6.649,93.3,1.3449,24,666,20.2,363.02,23.24
459,Boston Dorchester,84,1004,-71.07444136363635,42.30573959090907,20.0,20.0,6.80117,0.0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,396.9,14.7
456,Boston Dorchester,84,1001,-71.07424136363636,42.302239590909075,12.7,12.7,4.66883,0.0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,10.48,19.01
466,Boston Dorchester,84,1011,-71.07024136363636,42.30123959090907,19.0,19.0,3.77498,0.0,18.1,0,0.655,5.952,84.7,2.8715,24,666,20.2,22.01,17.15
457,Boston Dorchester,84,1002,-71.06574136363636,42.30123959090907,13.5,13.5,8.20058,0.0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,3.5,16.94
458,Boston Dorchester,84,1003,-71.06574136363636,42.305039590909075,14.9,14.9,7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23
460,Boston Dorchester,84,1005,-71.05774136363635,42.306739590909075,16.4,16.4,4.81213,0.0,18.1,0,0.713,6.701,90.0,2.5975,24,666,20.2,255.23,16.42
462,Boston Dorchester,84,1007,-71.05374136363636,42.30173959090907,19.5,19.5,6.65492,0.0,18.1,0,0.713,6.317,83.0,2.7344,24,666,20.2,396.9,13.99
464,Boston Dorchester,84,1009,-71.05854136363635,42.29973959090907,21.4,21.4,7.83932,0.0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22
465,Boston Dorchester,84,1010,-71.06774136363636,42.296239590909074,19.9,19.9,3.1636,0.0,18.1,0,0.655,5.759,48.2,3.0665,24,666,20.2,334.4,14.13
463,Boston Dorchester,84,1008,-71.07774136363636,42.29723959090907,20.2,20.2,5.82115,0.0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29
461,Boston Dorchester,84,1006,-71.07774136363636,42.300739590909075,17.7,17.7,3.69311,0.0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65
408,Boston Downtown,81,705,-71.05146779999998,42.3684339,17.2,17.2,7.40389,0.0,18.1,0,0.597,5.617,97.9,1.4547,24,666,20.2,314.64,26.4
409,Boston Downtown,81,706,-71.05516779999998,42.3576339,27.5,27.5,14.4383,0.0,18.1,0,0.597,6.852,100.0,1.4655,24,666,20.2,179.36,19.78
407,Boston Downtown,81,703,-71.05616779999998,42.3536339,27.9,27.9,11.9511,0.0,18.1,0,0.659,5.608,100.0,1.2852,24,666,20.2,332.09,12.13
406,Boston Downtown,81,702,-71.05796779999999,42.3546339,11.9,11.9,20.7162,0.0,18.1,0,0.659,4.138,100.0,1.1781,24,666,20.2,370.22,23.34
411,Boston Downtown,81,708,-71.05866779999998,42.3561339,17.2,17.2,14.0507,0.0,18.1,0,0.597,6.657,100.0,1.5275,24,666,20.2,35.05,21.22
412,Boston Downtown,81,709,-71.06116779999998,42.3534339,17.9,17.9,18.811,0.0,18.1,0,0.597,4.628,100.0,1.5539,24,666,20.2,28.79,34.37
413,Boston Downtown,81,710,-71.05946779999998,42.3516339,16.3,16.3,28.6558,0.0,18.1,0,0.597,5.155,100.0,1.5894,24,666,20.2,210.97,20.08
410,Boston Downtown,81,707,-71.05756779999999,42.3501339,15.0,15.0,51.1358,0.0,18.1,0,0.597,5.757,100.0,1.413,24,666,20.2,2.6,10.11
386,Boston East Boston,79,506,-71.05915176666666,42.37300536666667,10.5,10.5,24.3938,0.0,18.1,0,0.7,4.652,100.0,1.4672,24,666,20.2,396.9,28.28
389,Boston East Boston,79,509,-71.04115176666666,42.37270536666667,11.5,11.5,8.15174,0.0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85
382,Boston East Boston,79,501,-71.03965176666667,42.371005366666665,11.3,11.3,9.18702,0.0,18.1,0,0.7,5.536,100.0,1.5804,24,666,20.2,396.9,23.6
383,Boston East Boston,79,502,-71.04265176666667,42.36750536666667,12.3,12.3,7.99248,0.0,18.1,0,0.7,5.52,100.0,1.5331,24,666,20.2,396.9,24.56
384,Boston East Boston,79,503,-71.04165176666666,42.36530536666667,8.8,8.8,20.0849,0.0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63
381,Boston East Boston,79,407,-71.04095176666667,42.36710536666667,10.9,10.9,15.8744,0.0,18.1,0,0.671,6.545,99.1,1.5192,24,666,20.2,396.9,21.08
385,Boston East Boston,79,504,-71.03965176666667,42.36880536666667,7.2,7.2,16.8118,0.0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81
388,Boston East Boston,79,508,-71.03765176666666,42.369505366666665,10.2,10.2,14.3337,0.0,18.1,0,0.7,4.88,100.0,1.5895,24,666,20.2,372.92,30.62
392,Boston East Boston,79,512,-71.03495176666667,42.372105366666666,9.7,9.7,11.5779,0.0,18.1,0,0.7,5.036,97.0,1.77,24,666,20.2,396.9,25.68
391,Boston East Boston,79,511,-71.02905176666667,42.374005366666665,23.2,23.2,5.29305,0.0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76
387,Boston East Boston,79,507,-71.02165176666666,42.377005366666666,7.4,7.4,22.5971,0.0,18.1,0,0.7,5.0,89.5,1.5184,24,666,20.2,396.9,31.99
390,Boston East Boston,79,510,-71.03815176666666,42.36450536666667,15.1,15.1,6.96215,0.0,18.1,0,0.7,5.713,97.0,1.9265,24,666,20.2,394.43,17.11
473,Boston Forest Hills,86,1201,-71.12008757142857,42.29015247142857,29.8,29.8,4.64689,0.0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,374.68,11.66
474,Boston Forest Hills,86,1202,-71.10188757142858,42.28915247142857,13.8,13.8,8.05579,0.0,18.1,0,0.584,5.427,95.4,2.4298,24,666,20.2,352.58,18.14
475,Boston Forest Hills,86,1203,-71.09798757142858,42.29405247142857,13.3,13.3,6.39312,0.0,18.1,0,0.584,6.162,97.4,2.206,24,666,20.2,302.76,24.1
477,Boston Forest Hills,86,1205,-71.10338757142857,42.294152471428575,12.0,12.0,15.0234,0.0,18.1,0,0.614,5.304,97.3,2.1007,24,666,20.2,349.48,24.91
478,Boston Forest Hills,86,1206,-71.09968757142857,42.29815247142857,14.6,14.6,10.233,0.0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,379.7,18.03
479,Boston Forest Hills,86,1207,-71.10268757142858,42.29745247142857,21.4,21.4,14.3337,0.0,18.1,0,0.614,6.229,88.0,1.9512,24,666,20.2,383.32,13.11
476,Boston Forest Hills,86,1204,-71.11388757142856,42.30065247142857,16.7,16.7,4.87141,0.0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68
485,Boston Hyde Park,88,1402,-71.1314809,42.2566539,21.2,21.2,3.67367,0.0,18.1,0,0.583,6.312,51.9,3.9917,24,666,20.2,388.62,10.58
487,Boston Hyde Park,88,1404,-71.1260809,42.2481539,20.6,20.6,4.83567,0.0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45
486,Boston Hyde Park,88,1403,-71.1225809,42.2576539,19.1,19.1,5.69175,0.0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,392.68,14.98
484,Boston Hyde Park,88,1401,-71.1160809,42.2636539,20.6,20.6,2.37857,0.0,18.1,0,0.583,5.871,41.9,3.724,24,666,20.2,370.73,13.34
467,Boston Mattapan,85,1101,-71.08324146666666,42.283258366666665,19.1,19.1,4.42228,0.0,18.1,0,0.584,6.003,94.5,2.5403,24,666,20.2,331.29,21.32
468,Boston Mattapan,85,1102,-71.08724146666665,42.27325836666667,19.1,19.1,15.5757,0.0,18.1,0,0.58,5.926,71.0,2.9084,24,666,20.2,368.74,18.13
472,Boston Mattapan,85,1106,-71.08624146666666,42.27775836666667,23.2,23.2,3.56868,0.0,18.1,0,0.58,6.437,75.0,2.8965,24,666,20.2,393.37,14.36
470,Boston Mattapan,85,1104,-71.09124146666666,42.27325836666667,19.9,19.9,4.34879,0.0,18.1,0,0.58,6.167,84.0,3.0334,24,666,20.2,396.9,16.29
469,Boston Mattapan,85,1103,-71.09974146666666,42.27505836666667,20.1,20.1,13.0751,0.0,18.1,0,0.58,5.713,56.7,2.8237,24,666,20.2,396.9,14.76
471,Boston Mattapan,85,1105,-71.10054146666666,42.280258366666665,19.6,19.6,4.03841,0.0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87
374,Boston North End,77,302,-71.0538839,42.365702399999996,13.8,13.8,18.4982,0.0,18.1,0,0.668,4.138,100.0,1.137,24,666,20.2,396.9,37.97
373,Boston North End,77,301,-71.0545839,42.363702399999994,13.8,13.8,11.1081,0.0,18.1,0,0.668,4.906,100.0,1.1742,24,666,20.2,396.9,34.77
425,Boston Roxbury,82,814,-71.07885901052632,42.318471484210534,8.3,8.3,15.8603,0.0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39
419,Boston Roxbury,82,808,-71.08235901052632,42.315271484210534,8.4,8.4,11.8123,0.0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74
418,Boston Roxbury,82,807,-71.08455901052632,42.31647148421053,8.8,8.8,73.5341,0.0,18.1,0,0.679,5.957,100.0,1.8026,24,666,20.2,16.45,20.62
417,Boston Roxbury,82,805,-71.08665901052632,42.32067148421053,10.4,10.4,25.9406,0.0,18.1,0,0.679,5.304,89.1,1.6475,24,666,20.2,127.36,26.64
416,Boston Roxbury,82,803,-71.08935901052631,42.31887148421053,7.5,7.5,10.8342,0.0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79
415,Boston Roxbury,82,802,-71.09545901052631,42.31987148421053,7.2,7.2,18.0846,0.0,18.1,0,0.679,6.434,100.0,1.8347,24,666,20.2,27.25,29.05
414,Boston Roxbury,82,801,-71.09865901052632,42.31897148421053,7.0,7.0,45.7461,0.0,18.1,0,0.693,4.519,100.0,1.6582,24,666,20.2,88.27,36.98
423,Boston Roxbury,82,812,-71.10185901052631,42.32177148421053,13.4,13.4,7.05042,0.0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,2.52,23.29
426,Boston Roxbury,82,815,-71.10335901052632,42.316971484210534,10.2,10.2,12.2472,0.0,18.1,0,0.584,5.837,59.7,1.9976,24,666,20.2,24.65,15.69
422,Boston Roxbury,82,811,-71.09875901052631,42.31477148421053,20.8,20.8,12.0482,0.0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,291.55,14.1
424,Boston Roxbury,82,813,-71.09585901052631,42.31197148421053,11.7,11.7,8.79212,0.0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,3.65,17.16
427,Boston Roxbury,82,816,-71.09455901052631,42.31667148421053,10.9,10.9,37.6619,0.0,18.1,0,0.679,6.202,78.7,1.8629,24,666,20.2,18.82,14.52
420,Boston Roxbury,82,809,-71.09265901052632,42.31367148421053,16.7,16.7,11.0874,0.0,18.1,0,0.718,6.411,100.0,1.8589,24,666,20.2,318.75,15.02
428,Boston Roxbury,82,817,-71.09105901052631,42.31607148421053,11.0,11.0,7.36711,0.0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,96.73,21.52
429,Boston Roxbury,82,818,-71.08895901052631,42.31397148421053,9.5,9.5,9.33889,0.0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,60.72,24.08
430,Boston Roxbury,82,819,-71.08535901052632,42.31197148421053,14.5,14.5,8.49213,0.0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64
431,Boston Roxbury,82,820,-71.09155901052631,42.30897148421053,14.1,14.1,10.0623,0.0,18.1,0,0.584,6.833,94.3,2.0882,24,666,20.2,81.33,19.69
432,Boston Roxbury,82,821,-71.08735901052631,42.30797148421053,16.1,16.1,6.44405,0.0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,97.95,12.03
421,Boston Roxbury,82,810,-71.08885901052632,42.30537148421053,14.2,14.2,7.02259,0.0,18.1,0,0.718,6.006,95.3,1.8746,24,666,20.2,319.98,15.7
444,Boston Savin Hill,83,913,-71.05805720000001,42.30586300000001,10.8,10.8,12.8023,0.0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79
443,Boston Savin Hill,83,912,-71.05605720000001,42.30856300000001,15.4,15.4,9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666,20.2,386.73,18.85
445,Boston Savin Hill,83,914,-71.05455720000002,42.31106300000001,11.8,11.8,10.6718,0.0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,43.06,23.98
442,Boston Savin Hill,83,911,-71.05405720000002,42.31366300000001,18.4,14.8,5.66637,0.0,18.1,0,0.74,6.219,100.0,2.0048,24,666,20.2,395.69,16.59
446,Boston Savin Hill,83,915,-71.05305720000001,42.31606300000001,14.9,14.9,6.28807,0.0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79
451,Boston Savin Hill,83,920,-71.05305720000001,42.31816300000001,15.2,15.2,5.44114,0.0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,355.29,17.73
452,Boston Savin Hill,83,921,-71.04555720000002,42.31836300000001,16.1,16.1,5.09017,0.0,18.1,0,0.713,6.297,91.8,2.3682,24,666,20.2,385.09,17.27
453,Boston Savin Hill,83,922,-71.04065720000001,42.31686300000001,17.8,17.8,8.24809,0.0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,375.87,16.74
454,Boston Savin Hill,83,923,-71.0430572,42.30936300000001,14.9,14.4,9.51363,0.0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71
450,Boston Savin Hill,83,919,-71.04255720000002,42.31336300000001,13.4,13.4,6.71772,0.0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,0.32,17.44
447,Boston Savin Hill,83,916,-71.04635720000002,42.31356300000001,12.6,12.6,9.92485,0.0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,388.52,16.44
441,Boston Savin Hill,83,910,-71.04905720000001,42.31636300000001,17.1,17.1,9.72418,0.0,18.1,0,0.74,6.406,97.2,2.0651,24,666,20.2,385.96,19.52
455,Boston Savin Hill,83,924,-71.05105720000002,42.31336300000001,14.1,14.1,4.75237,0.0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13
440,Boston Savin Hill,83,908,-71.04755720000001,42.31116300000001,10.5,10.5,22.0511,0.0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11
439,Boston Savin Hill,83,907,-71.04555720000002,42.30836300000001,12.8,12.8,9.39063,0.0,18.1,0,0.74,5.627,93.9,1.8172,24,666,20.2,396.9,22.88
433,Boston Savin Hill,83,901,-71.04855720000002,42.30636300000001,14.3,14.3,5.58107,0.0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22
436,Boston Savin Hill,83,904,-71.05135720000001,42.30886300000001,9.6,9.6,14.4208,0.0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05
438,Boston Savin Hill,83,906,-71.05455720000002,42.30536300000001,8.4,8.4,13.6781,0.0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02
434,Boston Savin Hill,83,902,-71.04955720000001,42.30386300000001,11.7,11.7,13.9134,0.0,18.1,0,0.713,6.208,95.0,2.2222,24,666,20.2,100.63,15.17
437,Boston Savin Hill,83,905,-71.04255720000002,42.30336300000001,8.7,8.2,15.1772,0.0,18.1,0,0.74,6.152,100.0,1.9142,24,666,20.2,9.32,26.45
448,Boston Savin Hill,83,917,-71.04855720000002,42.30136300000001,14.1,14.1,9.32909,0.0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,396.9,18.13
449,Boston Savin Hill,83,918,-71.05405720000002,42.30116300000001,13.0,13.0,7.52601,0.0,18.1,0,0.713,6.417,98.3,2.185,24,666,20.2,304.21,19.31
435,Boston Savin Hill,83,903,-71.05955720000001,42.30236300000001,13.4,13.4,11.1604,0.0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27
399,Boston South Boston,80,607,-71.03673883846155,42.33768216153846,6.3,6.3,9.91655,0.0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,338.16,29.97
403,Boston South Boston,80,612,-71.04003883846154,42.33598216153846,8.3,8.3,24.8017,0.0,18.1,0,0.693,5.349,96.0,1.7028,24,666,20.2,396.9,19.77
402,Boston South Boston,80,610,-71.04203883846155,42.336282161538456,12.1,12.1,9.59571,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666,20.2,376.11,20.31
401,Boston South Boston,80,609,-71.04603883846154,42.33598216153846,7.2,7.2,14.2362,0.0,18.1,0,0.693,6.343,100.0,1.5741,24,666,20.2,396.9,20.32
400,Boston South Boston,80,608,-71.04503883846155,42.33908216153846,5.6,5.6,25.0461,0.0,18.1,0,0.693,5.987,100.0,1.5888,24,666,20.2,396.9,26.77
398,Boston South Boston,80,606,-71.04303883846154,42.34568216153846,5.0,5.0,38.3518,0.0,18.1,0,0.693,5.453,100.0,1.4896,24,666,20.2,396.9,30.59
395,Boston South Boston,80,603,-71.05303883846155,42.33988216153846,13.1,13.1,8.71675,0.0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12
396,Boston South Boston,80,604,-71.05263883846155,42.337782161538456,12.5,12.5,5.87205,0.0,18.1,0,0.693,6.405,96.0,1.6768,24,666,20.2,396.9,19.37
394,Boston South Boston,80,602,-71.05003883846155,42.33818216153846,12.7,12.7,13.3598,0.0,18.1,0,0.693,5.887,94.7,1.7821,24,666,20.2,396.9,16.35
393,Boston South Boston,80,601,-71.05003883846155,42.33548216153846,13.8,13.8,8.64476,0.0,18.1,0,0.693,6.193,92.6,1.7912,24,666,20.2,396.9,15.17
404,Boston South Boston,80,613,-71.05323883846154,42.33468216153846,8.5,8.5,41.5292,0.0,18.1,0,0.693,5.531,85.4,1.6074,24,666,20.2,329.46,27.38
405,Boston South Boston,80,614,-71.05453883846154,42.33678216153846,5.0,5.0,67.9208,0.0,18.1,0,0.693,5.683,100.0,1.4254,24,666,20.2,384.97,22.98
397,Boston South Boston,80,605,-71.05203883846154,42.34238216153846,8.5,8.5,7.67202,0.0,18.1,0,0.693,5.747,98.9,1.6334,24,666,20.2,393.1,19.92
482,Boston West Roxbury,87,1303,-71.1676506,42.285180399999994,25.0,25.0,5.73116,0.0,18.1,0,0.532,7.061,77.0,3.4106,24,666,20.2,395.28,7.01
481,Boston West Roxbury,87,1302,-71.1618506,42.2841804,23.7,23.7,5.70818,0.0,18.1,0,0.532,6.75,74.9,3.3317,24,666,20.2,393.07,7.74
480,Boston West Roxbury,87,1301,-71.1568506,42.277680399999994,23.0,23.0,5.82401,0.0,18.1,0,0.532,6.242,64.7,3.4242,24,666,20.2,396.9,10.74
483,Boston West Roxbury,87,1304,-71.16435059999999,42.2719804,21.8,21.8,2.81838,0.0,18.1,0,0.532,5.762,40.3,4.0983,24,666,20.2,392.92,10.42
326,Braintree,60,4197,-71.01520129999999,42.210739200000006,23.0,23.0,0.30347,0.0,7.38,0,0.493,6.312,28.9,5.4159,5,287,19.6,396.9,6.15
