,Unnamed: 0,TOWN,TOWNNO,TRACT,LON,LAT,MEDV,CMEDV,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,B,LSTAT,Clusters
16,182,Belmont,30,3574,-122.2822883,37.5162895,37.9,37.9,0.09103,0.0,2.46,0,0.488,7.155,92.2,2.7006,3,193,17.8,394.12,4.82,0
17,181,Belmont,30,3573,-122.28778829999999,37.5212895,36.2,36.2,0.06888,0.0,2.46,0,0.488,6.144,62.2,2.5979,3,193,17.8,396.9,9.45,0
18,180,Belmont,30,3572,-122.28178829999999,37.5304895,39.8,39.8,0.06588,0.0,2.46,0,0.488,7.765,83.3,2.741,3,193,17.8,395.56,7.56,0
19,60,Beverly,13,2173,-70.89063233333334,42.56884496666667,18.7,18.7,0.14932,25.0,5.13,0,0.45299999999999996,5.7410000000000005,66.2,7.2254,8,284,19.7,395.11,13.15,2
20,61,Beverly,13,2174,-70.89213233333334,42.55484496666667,16.0,16.0,0.17171,25.0,5.13,0,0.45299999999999996,5.966,93.4,6.8185,8,284,19.7,378.08,14.44,2
21,62,Beverly,13,2175,-70.88213233333335,42.55984496666667,22.2,22.2,0.11027,25.0,5.13,0,0.45299999999999996,6.456,67.8,7.2255,8,284,19.7,396.9,6.73,0
22,63,Beverly,13,2176,-70.88213233333335,42.55034496666667,25.0,25.0,0.1265,25.0,5.13,0,0.45299999999999996,6.7620000000000005,43.4,7.9809,8,284,19.7,395.58,9.5,0
23,59,Beverly,13,2172,-70.87363233333333,42.55484496666667,19.6,19.6,0.10328,25.0,5.13,0,0.45299999999999996,5.9270000000000005,47.2,6.932,8,284,19.7,396.9,9.22,0
24,58,Beverly,13,2171,-70.85963233333334,42.56184496666667,23.3,23.3,0.15445,25.0,5.13,0,0.45299999999999996,6.145,29.2,7.8148,8,284,19.7,390.68,6.86,0
25,358,Boston Allston-Brighton,74,3,-71.12718619999998,42.3607913,22.7,22.7,5.20177,0.0,18.1,1,0.77,6.127000000000001,83.4,2.7227,24,666,20.2,395.43,11.48,2
26,359,Boston Allston-Brighton,74,4,-71.13918619999998,42.35559129999999,22.6,22.6,4.26131,0.0,18.1,0,0.77,6.112,81.3,2.5091,24,666,20.2,390.74,12.67,2
27,360,Boston Allston-Brighton,74,5,-71.14488619999999,42.35359129999999,25.0,25.0,4.541919999999999,0.0,18.1,0,0.77,6.398,88.0,2.5182,24,666,20.2,374.56,7.79,2
28,357,Boston Allston-Brighton,74,2,-71.13718619999999,42.35059129999999,21.7,21.7,3.8497,0.0,18.1,1,0.77,6.395,91.0,2.5052,24,666,20.2,391.34,13.27,2
29,356,Boston Allston-Brighton,74,1,-71.13468619999998,42.3468913,17.8,17.8,8.98296,0.0,18.1,1,0.77,6.212000000000001,97.4,2.1222,24,666,20.2,377.73,17.6,1
30,362,Boston Allston-Brighton,74,7,-71.13068619999999,42.35359129999999,20.8,20.8,3.6782199999999996,0.0,18.1,0,0.77,5.362,96.2,2.1036,24,666,20.2,380.79,10.19,2
31,363,Boston Allston-Brighton,74,8,-71.12518619999999,42.3515913,16.8,16.8,4.22239,0.0,18.1,1,0.77,5.803,89.0,1.9047,24,666,20.2,353.04,14.64,1
32,361,Boston Allston-Brighton,74,6,-71.13068619999999,42.35859129999999,19.9,19.9,3.83684,0.0,18.1,0,0.77,6.251,91.1,2.2955,24,666,20.2,350.65,14.19,2
33,365,Boston Back Bay,75,102,-71.0864757,42.35131480000001,27.5,27.5,4.55587,0.0,18.1,0,0.718,3.5610000000000004,87.9,1.6132,24,666,20.2,354.7,7.12,2
34,368,Boston Back Bay,75,107,-71.0869757,42.349014800000006,50.0,50.0,4.898219999999999,0.0,18.1,0,0.631,4.97,100.0,1.3325,24,666,20.2,375.52,3.26,2
35,369,Boston Back Bay,75,108,-71.0814757,42.34671480000001,50.0,50.0,5.669980000000001,0.0,18.1,1,0.631,6.683,96.8,1.3567,24,666,20.2,375.33,3.73,2
36,366,Boston Back Bay,75,104,-71.07827569999998,42.34851480000001,21.9,21.9,3.69695,0.0,18.1,0,0.718,4.963,91.4,1.7523,24,666,20.2,316.03,14.0,2
37,367,Boston Back Bay,75,105,-71.0754757,42.352014800000006,23.1,23.1,13.5222,0.0,18.1,0,0.631,3.863,100.0,1.5106,24,666,20.2,131.42,13.33,2
38,364,Boston Back Bay,75,101,-71.0771757,42.35401480000001,21.9,21.9,3.4742800000000003,0.0,18.1,1,0.718,8.78,82.9,1.9047,24,666,20.2,354.55,5.29,2
39,370,Boston Beacon Hill,76,201,-71.07173889999999,42.35699990000001,50.0,50.0,6.53876,0.0,18.1,1,0.631,7.016,97.5,1.2024,24,666,20.2,392.05,2.96,2
40,372,Boston Beacon Hill,76,203,-71.07123890000001,42.35859990000001,50.0,50.0,8.26725,0.0,18.1,1,0.6679999999999999,5.875,89.6,1.1296,24,666,20.2,347.88,8.88,2
41,371,Boston Beacon Hill,76,202,-71.06923889999999,42.36079990000001,50.0,50.0,9.2323,0.0,18.1,0,0.631,6.216,100.0,1.1691,24,666,20.2,366.15,9.53,2
42,380,Boston Charlestown,78,406,-71.05779643333331,42.37573983333333,10.4,10.4,88.9762,0.0,18.1,0,0.6709999999999999,6.968,91.9,1.4165,24,666,20.2,396.9,17.21,1
43,379,Boston Charlestown,78,405,-71.05509643333333,42.377739833333344,10.2,10.2,17.8667,0.0,18.1,0,0.6709999999999999,6.223,100.0,1.3861,24,666,20.2,393.74,21.78,1
44,375,Boston Charlestown,78,401,-71.05909643333331,42.378239833333346,15.0,15.0,19.6091,0.0,18.1,0,0.6709999999999999,7.313,97.9,1.3163,24,666,20.2,396.9,13.44,1
45,377,Boston Charlestown,78,403,-71.06109643333333,42.37653983333335,13.3,13.3,9.82349,0.0,18.1,0,0.6709999999999999,6.794,98.8,1.358,24,666,20.2,396.9,21.24,1
46,378,Boston Charlestown,78,404,-71.06109643333333,42.379239833333344,13.1,13.1,23.6482,0.0,18.1,0,0.6709999999999999,6.38,96.2,1.3861,24,666,20.2,396.9,23.69,1
47,376,Boston Charlestown,78,402,-71.06709643333333,42.38173983333333,13.9,13.9,15.288,0.0,18.1,0,0.6709999999999999,6.649,93.3,1.3449,24,666,20.2,363.02,23.24,1
48,459,Boston Dorchester,84,1004,-71.07444136363634,42.30573959090907,20.0,20.0,6.80117,0.0,18.1,0,0.713,6.081,84.4,2.7175,24,666,20.2,396.9,14.7,2
49,456,Boston Dorchester,84,1001,-71.07424136363636,42.30223959090908,12.7,12.7,4.668830000000001,0.0,18.1,0,0.713,5.976,87.9,2.5806,24,666,20.2,10.48,19.01,1
50,466,Boston Dorchester,84,1011,-71.07024136363636,42.30123959090907,19.0,19.0,3.7749800000000002,0.0,18.1,0,0.655,5.952000000000001,84.7,2.8715,24,666,20.2,22.01,17.15,1
51,457,Boston Dorchester,84,1002,-71.06574136363636,42.30123959090907,13.5,13.5,8.20058,0.0,18.1,0,0.713,5.936,80.3,2.7792,24,666,20.2,3.5,16.94,1
52,458,Boston Dorchester,84,1003,-71.06574136363636,42.30503959090908,14.9,14.9,7.75223,0.0,18.1,0,0.713,6.301,83.7,2.7831,24,666,20.2,272.21,16.23,1
53,460,Boston Dorchester,84,1005,-71.05774136363634,42.30673959090908,16.4,16.4,4.812130000000001,0.0,18.1,0,0.713,6.7010000000000005,90.0,2.5975,24,666,20.2,255.23,16.42,1
54,462,Boston Dorchester,84,1007,-71.05374136363636,42.30173959090907,19.5,19.5,6.65492,0.0,18.1,0,0.713,6.317,83.0,2.7344,24,666,20.2,396.9,13.99,2
55,464,Boston Dorchester,84,1009,-71.05854136363634,42.29973959090907,21.4,21.4,7.83932,0.0,18.1,0,0.655,6.209,65.4,2.9634,24,666,20.2,396.9,13.22,2
56,465,Boston Dorchester,84,1010,-71.06774136363636,42.296239590909074,19.9,19.9,3.1636,0.0,18.1,0,0.655,5.7589999999999995,48.2,3.0665,24,666,20.2,334.4,14.13,2
57,463,Boston Dorchester,84,1008,-71.07774136363636,42.29723959090907,20.2,20.2,5.82115,0.0,18.1,0,0.713,6.513,89.9,2.8016,24,666,20.2,393.82,10.29,2
58,461,Boston Dorchester,84,1006,-71.07774136363636,42.30073959090908,17.7,17.7,3.69311,0.0,18.1,0,0.713,6.376,88.4,2.5671,24,666,20.2,391.43,14.65,1
59,408,Boston Downtown,81,705,-71.05146779999998,42.3684339,17.2,17.2,7.40389,0.0,18.1,0,0.597,5.617000000000001,97.9,1.4547,24,666,20.2,314.64,26.4,1
60,409,Boston Downtown,81,706,-71.05516779999998,42.357633899999996,27.5,27.5,14.4383,0.0,18.1,0,0.597,6.852,100.0,1.4655,24,666,20.2,179.36,19.78,2
61,407,Boston Downtown,81,703,-71.05616779999998,42.3536339,27.9,27.9,11.9511,0.0,18.1,0,0.659,5.608,100.0,1.2852,24,666,20.2,332.09,12.13,2
62,406,Boston Downtown,81,702,-71.05796779999999,42.354633899999996,11.9,11.9,20.7162,0.0,18.1,0,0.659,4.138,100.0,1.1781,24,666,20.2,370.22,23.34,1
63,411,Boston Downtown,81,708,-71.05866779999998,42.356133899999996,17.2,17.2,14.0507,0.0,18.1,0,0.597,6.657,100.0,1.5275,24,666,20.2,35.05,21.22,1
64,412,Boston Downtown,81,709,-71.06116779999998,42.3534339,17.9,17.9,18.811,0.0,18.1,0,0.597,4.628,100.0,1.5539,24,666,20.2,28.79,34.37,1
65,413,Boston Downtown,81,710,-71.05946779999998,42.351633899999996,16.3,16.3,28.6558,0.0,18.1,0,0.597,5.155,100.0,1.5894,24,666,20.2,210.97,20.08,1
66,410,Boston Downtown,81,707,-71.05756779999999,42.350133899999996,15.0,15.0,51.1358,0.0,18.1,0,0.597,5.757000000000001,100.0,1.413,24,666,20.2,2.6,10.11,1
67,386,Boston East Boston,79,506,-71.05915176666666,42.37300536666667,10.5,10.5,24.3938,0.0,18.1,0,0.7,4.652,100.0,1.4672,24,666,20.2,396.9,28.28,1
68,389,Boston East Boston,79,509,-71.04115176666666,42.37270536666667,11.5,11.5,8.15174,0.0,18.1,0,0.7,5.39,98.9,1.7281,24,666,20.2,396.9,20.85,1
69,382,Boston East Boston,79,501,-71.03965176666667,42.371005366666665,11.3,11.3,9.18702,0.0,18.1,0,0.7,5.5360000000000005,100.0,1.5804,24,666,20.2,396.9,23.6,1
70,383,Boston East Boston,79,502,-71.04265176666667,42.36750536666667,12.3,12.3,7.9924800000000005,0.0,18.1,0,0.7,5.52,100.0,1.5331,24,666,20.2,396.9,24.56,1
71,384,Boston East Boston,79,503,-71.04165176666666,42.36530536666667,8.8,8.8,20.0849,0.0,18.1,0,0.7,4.368,91.2,1.4395,24,666,20.2,285.83,30.63,1
72,381,Boston East Boston,79,407,-71.04095176666667,42.36710536666667,10.9,10.9,15.8744,0.0,18.1,0,0.6709999999999999,6.545,99.1,1.5192,24,666,20.2,396.9,21.08,1
73,385,Boston East Boston,79,504,-71.03965176666667,42.36880536666667,7.2,7.2,16.8118,0.0,18.1,0,0.7,5.277,98.1,1.4261,24,666,20.2,396.9,30.81,1
74,388,Boston East Boston,79,508,-71.03765176666666,42.369505366666665,10.2,10.2,14.3337,0.0,18.1,0,0.7,4.88,100.0,1.5895,24,666,20.2,372.92,30.62,1
75,392,Boston East Boston,79,512,-71.03495176666667,42.372105366666666,9.7,9.7,11.5779,0.0,18.1,0,0.7,5.0360000000000005,97.0,1.77,24,666,20.2,396.9,25.68,1
76,391,Boston East Boston,79,511,-71.02905176666667,42.374005366666665,23.2,23.2,5.29305,0.0,18.1,0,0.7,6.051,82.5,2.1678,24,666,20.2,378.38,18.76,2
77,387,Boston East Boston,79,507,-71.02165176666666,42.377005366666666,7.4,7.4,22.5971,0.0,18.1,0,0.7,5.0,89.5,1.5184,24,666,20.2,396.9,31.99,1
78,390,Boston East Boston,79,510,-71.03815176666666,42.36450536666667,15.1,15.1,6.96215,0.0,18.1,0,0.7,5.712999999999999,97.0,1.9265,24,666,20.2,394.43,17.11,1
79,473,Boston Forest Hills,86,1201,-71.12008757142857,42.29015247142857,29.8,29.8,4.64689,0.0,18.1,0,0.614,6.98,67.6,2.5329,24,666,20.2,374.68,11.66,2
80,474,Boston Forest Hills,86,1202,-71.10188757142858,42.28915247142857,13.8,13.8,8.05579,0.0,18.1,0,0.584,5.4270000000000005,95.4,2.4298,24,666,20.2,352.58,18.14,1
81,475,Boston Forest Hills,86,1203,-71.09798757142858,42.29405247142857,13.3,13.3,6.39312,0.0,18.1,0,0.584,6.162000000000001,97.4,2.206,24,666,20.2,302.76,24.1,1
82,477,Boston Forest Hills,86,1205,-71.10338757142857,42.29415247142858,12.0,12.0,15.0234,0.0,18.1,0,0.614,5.303999999999999,97.3,2.1007,24,666,20.2,349.48,24.91,1
83,478,Boston Forest Hills,86,1206,-71.09968757142856,42.29815247142857,14.6,14.6,10.232999999999999,0.0,18.1,0,0.614,6.185,96.7,2.1705,24,666,20.2,379.7,18.03,1
84,479,Boston Forest Hills,86,1207,-71.10268757142858,42.29745247142857,21.4,21.4,14.3337,0.0,18.1,0,0.614,6.229,88.0,1.9512,24,666,20.2,383.32,13.11,2
85,476,Boston Forest Hills,86,1204,-71.11388757142856,42.30065247142857,16.7,16.7,4.87141,0.0,18.1,0,0.614,6.484,93.6,2.3053,24,666,20.2,396.21,18.68,1
86,485,Boston Hyde Park,88,1402,-71.1314809,42.256653899999996,21.2,21.2,3.6736699999999995,0.0,18.1,0,0.583,6.312,51.9,3.9917,24,666,20.2,388.62,10.58,2
87,487,Boston Hyde Park,88,1404,-71.1260809,42.2481539,20.6,20.6,4.8356699999999995,0.0,18.1,0,0.583,5.905,53.2,3.1523,24,666,20.2,388.22,11.45,2
88,486,Boston Hyde Park,88,1403,-71.1225809,42.2576539,19.1,19.1,5.69175,0.0,18.1,0,0.583,6.114,79.8,3.5459,24,666,20.2,392.68,14.98,2
89,484,Boston Hyde Park,88,1401,-71.1160809,42.2636539,20.6,20.6,2.37857,0.0,18.1,0,0.583,5.871,41.9,3.7239999999999998,24,666,20.2,370.73,13.34,2
90,467,Boston Mattapan,85,1101,-71.08324146666666,42.283258366666665,19.1,19.1,4.422280000000001,0.0,18.1,0,0.584,6.002999999999999,94.5,2.5403,24,666,20.2,331.29,21.32,1
91,468,Boston Mattapan,85,1102,-71.08724146666665,42.27325836666667,19.1,19.1,15.5757,0.0,18.1,0,0.58,5.926,71.0,2.9084,24,666,20.2,368.74,18.13,2
92,472,Boston Mattapan,85,1106,-71.08624146666666,42.27775836666667,23.2,23.2,3.56868,0.0,18.1,0,0.58,6.437,75.0,2.8965,24,666,20.2,393.37,14.36,2
93,470,Boston Mattapan,85,1104,-71.09124146666666,42.27325836666667,19.9,19.9,4.34879,0.0,18.1,0,0.58,6.167000000000001,84.0,3.0334,24,666,20.2,396.9,16.29,2
94,469,Boston Mattapan,85,1103,-71.09974146666666,42.27505836666667,20.1,20.1,13.0751,0.0,18.1,0,0.58,5.712999999999999,56.7,2.8237,24,666,20.2,396.9,14.76,2
95,471,Boston Mattapan,85,1105,-71.10054146666666,42.280258366666665,19.6,19.6,4.03841,0.0,18.1,0,0.532,6.229,90.7,3.0993,24,666,20.2,395.33,12.87,2
96,374,Boston North End,77,302,-71.0538839,42.3657024,13.8,13.8,18.4982,0.0,18.1,0,0.6679999999999999,4.138,100.0,1.137,24,666,20.2,396.9,37.97,1
97,373,Boston North End,77,301,-71.0545839,42.3637024,13.8,13.8,11.1081,0.0,18.1,0,0.6679999999999999,4.906000000000001,100.0,1.1742,24,666,20.2,396.9,34.77,1
98,425,Boston Roxbury,82,814,-71.07885901052632,42.31847148421053,8.3,8.3,15.8603,0.0,18.1,0,0.679,5.896,95.4,1.9096,24,666,20.2,7.68,24.39,1
99,419,Boston Roxbury,82,808,-71.08235901052632,42.31527148421053,8.4,8.4,11.8123,0.0,18.1,0,0.718,6.824,76.5,1.794,24,666,20.2,48.45,22.74,1
100,418,Boston Roxbury,82,807,-71.08455901052632,42.31647148421053,8.8,8.8,73.5341,0.0,18.1,0,0.679,5.957000000000001,100.0,1.8026,24,666,20.2,16.45,20.62,1
101,417,Boston Roxbury,82,805,-71.08665901052632,42.32067148421053,10.4,10.4,25.9406,0.0,18.1,0,0.679,5.303999999999999,89.1,1.6475,24,666,20.2,127.36,26.64,1
102,416,Boston Roxbury,82,803,-71.08935901052631,42.31887148421053,7.5,7.5,10.8342,0.0,18.1,0,0.679,6.782,90.8,1.8195,24,666,20.2,21.57,25.79,1
103,415,Boston Roxbury,82,802,-71.09545901052631,42.31987148421053,7.2,7.2,18.0846,0.0,18.1,0,0.679,6.434,100.0,1.8347,24,666,20.2,27.25,29.05,1
104,414,Boston Roxbury,82,801,-71.09865901052632,42.31897148421053,7.0,7.0,45.7461,0.0,18.1,0,0.693,4.519,100.0,1.6582,24,666,20.2,88.27,36.98,1
105,423,Boston Roxbury,82,812,-71.10185901052631,42.32177148421053,13.4,13.4,7.05042,0.0,18.1,0,0.614,6.103,85.1,2.0218,24,666,20.2,2.52,23.29,1
106,426,Boston Roxbury,82,815,-71.10335901052632,42.31697148421053,10.2,10.2,12.2472,0.0,18.1,0,0.584,5.837000000000001,59.7,1.9976,24,666,20.2,24.65,15.69,1
107,422,Boston Roxbury,82,811,-71.09875901052631,42.31477148421053,20.8,20.8,12.0482,0.0,18.1,0,0.614,5.648,87.6,1.9512,24,666,20.2,291.55,14.1,2
108,424,Boston Roxbury,82,813,-71.09585901052631,42.31197148421053,11.7,11.7,8.792119999999999,0.0,18.1,0,0.584,5.565,70.6,2.0635,24,666,20.2,3.65,17.16,1
109,427,Boston Roxbury,82,816,-71.09455901052631,42.31667148421053,10.9,10.9,37.6619,0.0,18.1,0,0.679,6.202000000000001,78.7,1.8629,24,666,20.2,18.82,14.52,1
110,420,Boston Roxbury,82,809,-71.09265901052632,42.31367148421053,16.7,16.7,11.0874,0.0,18.1,0,0.718,6.4110000000000005,100.0,1.8589,24,666,20.2,318.75,15.02,1
111,428,Boston Roxbury,82,817,-71.09105901052631,42.31607148421053,11.0,11.0,7.36711,0.0,18.1,0,0.679,6.193,78.1,1.9356,24,666,20.2,96.73,21.52,1
112,429,Boston Roxbury,82,818,-71.08895901052631,42.313971484210526,9.5,9.5,9.33889,0.0,18.1,0,0.679,6.38,95.6,1.9682,24,666,20.2,60.72,24.08,1
113,430,Boston Roxbury,82,819,-71.08535901052632,42.31197148421053,14.5,14.5,8.49213,0.0,18.1,0,0.584,6.348,86.1,2.0527,24,666,20.2,83.45,17.64,1
114,431,Boston Roxbury,82,820,-71.09155901052631,42.30897148421053,14.1,14.1,10.0623,0.0,18.1,0,0.584,6.832999999999999,94.3,2.0882,24,666,20.2,81.33,19.69,1
115,432,Boston Roxbury,82,821,-71.08735901052631,42.307971484210526,16.1,16.1,6.44405,0.0,18.1,0,0.584,6.425,74.8,2.2004,24,666,20.2,97.95,12.03,2
116,421,Boston Roxbury,82,810,-71.08885901052632,42.30537148421053,14.2,14.2,7.022589999999999,0.0,18.1,0,0.718,6.006,95.3,1.8746,24,666,20.2,319.98,15.7,1
117,444,Boston Savin Hill,83,913,-71.05805720000002,42.30586300000001,10.8,10.8,12.8023,0.0,18.1,0,0.74,5.854,96.6,1.8956,24,666,20.2,240.52,23.79,1
118,443,Boston Savin Hill,83,912,-71.05605720000001,42.30856300000001,15.4,15.4,9.96654,0.0,18.1,0,0.74,6.485,100.0,1.9784,24,666,20.2,386.73,18.85,1
119,445,Boston Savin Hill,83,914,-71.05455720000002,42.31106300000001,11.8,11.8,10.6718,0.0,18.1,0,0.74,6.459,94.8,1.9879,24,666,20.2,43.06,23.98,1
120,442,Boston Savin Hill,83,911,-71.05405720000002,42.31366300000001,18.4,14.8,5.66637,0.0,18.1,0,0.74,6.218999999999999,100.0,2.0048,24,666,20.2,395.69,16.59,1
121,446,Boston Savin Hill,83,915,-71.05305720000001,42.31606300000001,14.9,14.9,6.288069999999999,0.0,18.1,0,0.74,6.341,96.4,2.072,24,666,20.2,318.01,17.79,1
122,451,Boston Savin Hill,83,920,-71.05305720000001,42.31816300000001,15.2,15.2,5.44114,0.0,18.1,0,0.713,6.655,98.2,2.3552,24,666,20.2,355.29,17.73,1
123,452,Boston Savin Hill,83,921,-71.04555720000002,42.31836300000001,16.1,16.1,5.09017,0.0,18.1,0,0.713,6.297000000000001,91.8,2.3682,24,666,20.2,385.09,17.27,1
124,453,Boston Savin Hill,83,922,-71.04065720000001,42.31686300000001,17.8,17.8,8.24809,0.0,18.1,0,0.713,7.393,99.3,2.4527,24,666,20.2,375.87,16.74,1
125,454,Boston Savin Hill,83,923,-71.0430572,42.30936300000001,14.9,14.4,9.513630000000001,0.0,18.1,0,0.713,6.728,94.1,2.4961,24,666,20.2,6.68,18.71,1
126,450,Boston Savin Hill,83,919,-71.04255720000002,42.31336300000001,13.4,13.4,6.71772,0.0,18.1,0,0.713,6.749,92.6,2.3236,24,666,20.2,0.32,17.44,1
127,447,Boston Savin Hill,83,916,-71.04635720000002,42.31356300000001,12.6,12.6,9.92485,0.0,18.1,0,0.74,6.251,96.6,2.198,24,666,20.2,388.52,16.44,1
128,441,Boston Savin Hill,83,910,-71.04905720000002,42.31636300000001,17.1,17.1,9.72418,0.0,18.1,0,0.74,6.406000000000001,97.2,2.0651,24,666,20.2,385.96,19.52,1
129,455,Boston Savin Hill,83,924,-71.05105720000002,42.31336300000001,14.1,14.1,4.75237,0.0,18.1,0,0.713,6.525,86.5,2.4358,24,666,20.2,50.92,18.13,1
130,440,Boston Savin Hill,83,908,-71.04755720000001,42.31116300000001,10.5,10.5,22.0511,0.0,18.1,0,0.74,5.818,92.4,1.8662,24,666,20.2,391.45,22.11,1
131,439,Boston Savin Hill,83,907,-71.04555720000002,42.30836300000001,12.8,12.8,9.39063,0.0,18.1,0,0.74,5.627000000000001,93.9,1.8172,24,666,20.2,396.9,22.88,1
132,433,Boston Savin Hill,83,901,-71.04855720000002,42.30636300000001,14.3,14.3,5.5810699999999995,0.0,18.1,0,0.713,6.436,87.9,2.3158,24,666,20.2,100.19,16.22,1
133,436,Boston Savin Hill,83,904,-71.05135720000001,42.30886300000001,9.6,9.6,14.4208,0.0,18.1,0,0.74,6.461,93.3,2.0026,24,666,20.2,27.49,18.05,1
134,438,Boston Savin Hill,83,906,-71.05455720000002,42.30536300000001,8.4,8.4,13.6781,0.0,18.1,0,0.74,5.935,87.9,1.8206,24,666,20.2,68.95,34.02,1
135,434,Boston Savin Hill,83,902,-71.04955720000002,42.30386300000001,11.7,11.7,13.9134,0.0,18.1,0,0.713,6.207999999999999,95.0,2.2222,24,666,20.2,100.63,15.17,1
136,437,Boston Savin Hill,83,905,-71.04255720000002,42.30336300000001,8.7,8.2,15.1772,0.0,18.1,0,0.74,6.152,100.0,1.9142,24,666,20.2,9.32,26.45,1
137,448,Boston Savin Hill,83,917,-71.04855720000002,42.30136300000001,14.1,14.1,9.329089999999999,0.0,18.1,0,0.713,6.185,98.7,2.2616,24,666,20.2,396.9,18.13,1
138,449,Boston Savin Hill,83,918,-71.05405720000002,42.30116300000001,13.0,13.0,7.52601,0.0,18.1,0,0.713,6.417000000000001,98.3,2.185,24,666,20.2,304.21,19.31,1
139,435,Boston Savin Hill,83,903,-71.05955720000001,42.30236300000001,13.4,13.4,11.1604,0.0,18.1,0,0.74,6.629,94.6,2.1247,24,666,20.2,109.85,23.27,1
140,399,Boston South Boston,80,607,-71.03673883846155,42.33768216153846,6.3,6.3,9.91655,0.0,18.1,0,0.693,5.852,77.8,1.5004,24,666,20.2,338.16,29.97,1
141,403,Boston South Boston,80,612,-71.04003883846154,42.33598216153846,8.3,8.3,24.8017,0.0,18.1,0,0.693,5.349,96.0,1.7028,24,666,20.2,396.9,19.77,1
142,402,Boston South Boston,80,610,-71.04203883846154,42.336282161538456,12.1,12.1,9.59571,0.0,18.1,0,0.693,6.404,100.0,1.639,24,666,20.2,376.11,20.31,1
143,401,Boston South Boston,80,609,-71.04603883846154,42.33598216153846,7.2,7.2,14.2362,0.0,18.1,0,0.693,6.343,100.0,1.5741,24,666,20.2,396.9,20.32,1
144,400,Boston South Boston,80,608,-71.04503883846154,42.339082161538464,5.6,5.6,25.0461,0.0,18.1,0,0.693,5.987,100.0,1.5888,24,666,20.2,396.9,26.77,1
145,398,Boston South Boston,80,606,-71.04303883846154,42.34568216153846,5.0,5.0,38.3518,0.0,18.1,0,0.693,5.452999999999999,100.0,1.4896,24,666,20.2,396.9,30.59,1
146,395,Boston South Boston,80,603,-71.05303883846155,42.33988216153846,13.1,13.1,8.71675,0.0,18.1,0,0.693,6.471,98.8,1.7257,24,666,20.2,391.98,17.12,1
